Gemeindename,Einwohner  (2019),Veränderung in %  (2010-2019),Bevölkerungs-dichte pro km²  (2019),Ausländer in %  (2019),0-19 Jahre  (2019),20-64 Jahre  (2019),65 Jahre und mehr  (2019),Rohe Heiratssziffer  (2019),Rohe Scheidungsziffer  (2019),Rohe Geburtenziffer  (2019),Rohe Sterbeziffer  (2019),Anzahl Privathaushalte  (2019),Durchschnittliche Haushaltsgrösse in Personen  (2019),Leerwohnungs-ziffer  (2020),Neu gebaute Wohnungen pro 1000 Einwohner  (2018),FDP  (2019),CVP  (2019),SP  (2019),SVP  (2019),EVP/CSP  (2019),GLP  (2019),BDP  (2019),PdA/Sol.  (2019),GPS  (2019),Kleine Rechtsparteien  (2019),Berggebiet,GHM_Mean_2020
Aadorf,9047.0,11.9124195943,453.7111334002,15.8395048082,20.4045539958,60.3625511219,19.2328948823,5.7509400575,2.4330900243,11.7230701172,6.5251050653,3908.0,2.2945240532,3.1074766355,4.9521665729,11.3982770046,15.4804506296,10.7289595759,37.4155069583,3.4128561962,7.9125248509,2.0808482439,0.0,9.5891318754,1.9814446653,0,0.5550794542932803
Aarau,21773.0,11.6735908088,1764.4246353323,20.9387773848,17.3839158591,64.4146419878,18.2014421531,5.8688971557,2.3105894314,11.2294646364,8.8726634164,10591.0,2.0140685488,1.0144457069,21.9578709799,16.6807037607,5.6606835163,26.4281133373,16.3476769253,3.6231156167,10.8531204846,2.5390398628,0.0,14.6802246965,0.6297375192,0,0.690338846315374
Aarberg,4632.0,13.3072407045,584.1109709962,12.8886010363,19.6243523316,59.0457685665,21.3298791019,4.7516198704,1.9438444924,9.9352051836,8.2073434125,2146.0,2.1300093197,0.6451612903,3.4926871862,9.9195859651,0.9933498428,14.8251203428,33.6681599377,3.817579788,9.8444586661,12.1900998915,0.3032916887,10.2562675645,1.8114026545,0,0.6197278499603271
Aarburg,8376.0,19.6571428571,1899.3197278912,44.1380133715,20.4751671442,65.2220630372,14.3027698185,4.7064502504,3.4996681349,10.6196826163,6.154588789,3735.0,2.2131191432,4.8146364949,2.6028755578,11.3231081955,5.8809941791,20.9646123995,34.902522406,3.0952600942,6.4307493301,2.6425205581,0.0,10.5192645292,1.7231821122,0,0.7144522868411641
Aarwangen,4620.0,10.5263157895,466.6666666667,15.9090909091,20.5411255411,60.1298701299,19.329004329,5.0103474567,1.7427295502,11.327742076,6.5352358131,1962.0,2.2986748216,7.6018099548,20.1595037661,11.6224429059,1.2593590426,13.2890573604,38.6454058457,2.5625763604,9.0598665455,8.6776730052,0.1378402932,9.0066100686,2.0488079947,0,0.5732047080993652
Abtwil,964.0,5.8177826564,232.2891566265,12.6556016598,24.0663900415,64.6265560166,11.3070539419,2.0565552699,2.0565552699,5.1413881748,3.0848329049,377.0,2.5411140584,3.1325301205,0.0,8.388359012,16.5810711665,8.0948887258,44.3140132062,1.0760577158,10.2959158719,3.8151137197,0.0,6.187331866,0.2445585718,0,0.4850815604714786
Aclens,539.0,16.1637931034,138.2051282051,24.3042671614,22.8200371058,63.2653061224,13.9146567718,5.5865921788,3.7243947858,7.4487895717,1.8621973929,217.0,2.4838709677,6.6666666667,0.0,23.5034887991,0.3672420125,21.4469335292,22.0345207492,0.3305178112,9.4748439221,0.1836210062,4.2600073448,16.1586485494,0.734484025,0,0.6950706243515015
Acquarossa,1813.0,-1.5209125475,29.3460666882,12.0794263651,16.6574738003,57.0325427468,26.3099834528,2.7616680475,4.418668876,7.1803369235,11.04667219,840.0,2.1142857143,0.3590664273,3.2432432432,15.6347069787,27.9768067923,13.7295506316,9.8985297163,0.0,0.6419548561,0.0,0.3520397598,10.3126941396,18.4510250569,1,0.1346826275946981
Adelboden,3352.0,-5.921975863,38.2604725488,7.8460620525,19.8687350835,58.2040572792,21.9272076372,4.1530703055,1.4832393948,10.6793236428,12.1625630377,1471.0,2.2433718559,0.6965405154,13.0525066746,4.190968172,0.3693828806,5.2380158862,44.7536521691,5.2741209798,7.4015441871,4.8436371716,0.1638615786,2.8134199856,22.2351830251,1,0.1201011199411992
Adligenswil,5460.0,-0.5645601894,781.1158798283,10.9706959707,21.6666666667,55.0549450549,23.2783882784,2.9490369551,1.6588332873,8.2941664363,6.0823887199,2254.0,2.4059449867,0.2908184462,10.4810031817,16.6595699383,16.7181179476,16.845859059,23.6321055993,0.8409623164,10.4002554822,0.0,0.0,14.5837768789,0.0479029168,0,0.5020276102526434
Adlikon,698.0,20.9705372617,106.0790273556,10.6017191977,21.2034383954,60.0286532951,18.7679083095,7.1174377224,2.846975089,9.9644128114,2.846975089,274.0,2.4854014599,0.3389830508,21.0526315789,9.3611978886,1.3250026931,6.0971668642,56.4580415814,6.7111925024,6.4095658731,3.9103738016,0.0,6.7650544005,2.8977701174,0,0.5680944460247634
Adliswil,18944.0,14.798206278,2438.0952380952,37.7850506757,20.1435810811,61.0747466216,18.7816722973,4.6137936521,1.9621881049,12.3564818498,8.5912019728,8759.0,2.1356319215,0.8651073374,0.9041110461,14.4291637822,8.9773692361,17.6150272269,28.5228983935,3.0631106417,11.1769281825,1.9897372947,0.2276636288,11.0613121704,0.7636366232,0,0.6519556196909102
Aedermannsdorf,579.0,3.024911032,44.8142414861,5.0086355786,20.3799654577,58.5492227979,21.0708117444,1.7406440383,0.0,5.2219321149,5.2219321149,236.0,2.4237288136,0.7462686567,5.2447552448,17.4744897959,39.6683673469,7.6530612245,26.2755102041,0.1913265306,1.8494897959,1.7857142857,0.0,4.2729591837,0.5739795918,1,0.2198406825555819
