Gemeindename,jahr,wert
Aadorf,1990,0.44167351283910083
Aarau,1990,0.6151454312813714
Aarberg,1990,0.5376129150390625
Aarburg,1990,0.6528765181420555
Aarwangen,1990,0.44101266860961913
Abtwil,1990,0.4000343154458439
Aclens,1990,0.6016120314598083
Acquarossa,1990,0.10785191420207889
Adelboden,1990,0.09769476900673586
Adligenswil,1990,0.40349739995496026
Adlikon,1990,0.5255516122240539
Adliswil,1990,0.5718607221330915
Aedermannsdorf,1990,0.1821020072865709
Aefligen,1990,0.5766914367675782
Aegerten,1990,0.5717107454935709
Aesch (BL),1990,0.5702614466349284
Aesch (LU),1990,0.4183948362195814
Aesch (ZH),1990,0.40757556294285974
Aeschi (SO),1990,0.4485631730821398
Aeschi bei Spiez,1990,0.12357677799640315
Aeugst am Albis,1990,0.34779939197358634
Affeltrangen,1990,0.4163293559182139
Affoltern am Albis,1990,0.5039451772516425
Affoltern im Emmental,1990,0.32773598380710767
Agarn,1990,0.12905511401948475
Agiez,1990,0.4230906168619792
Agno,1990,0.6203605548755543
Aigle,1990,0.5401813595793968
Aire-la-Ville,1990,0.5909992666805491
Airolo,1990,0.14281457591904953
Alberswil,1990,0.46064399460614736
Albinen,1990,0.1638709509325593
Albula/Alvra,1990,0.10641825918763329
Alchenstorf,1990,0.37833460536571817
Allaman,1990,0.5350067432110126
Alle,1990,0.5154986572265625
Allmendingen,1990,0.5429114637703731
Allschwil,1990,0.608099956901706
Alpnach,1990,0.153790283203125
Alpthal,1990,0.1174081404578877
Altbüron,1990,0.34134100149343677
Altdorf (UR),1990,0.4200420379638672
Altendorf,1990,0.25007494484506004
Altikon,1990,0.4771141778855097
Altishofen,1990,0.33611984583206506
Altnau,1990,0.4188980507639657
Alto Malcantone,1990,0.17392055887571523
Altstätten,1990,0.33851249706579833
Amden,1990,0.10262581275426949
Amlikon-Bissegg,1990,0.36682796079244573
Ammerswil,1990,0.37783601149073187
Amriswil,1990,0.4328094966827877
Amsoldingen,1990,0.31150182959151596
Andeer,1990,0.09493822719961564
Andelfingen,1990,0.530499961159446
Andermatt,1990,0.08478277756762599
Andwil (SG),1990,0.33323220645680146
Anières,1990,0.6797712982678022
Anniviers,1990,0.07559193092902522
Anwil,1990,0.3454272930438702
Appenzell,1990,0.26391155366863156
Aranno,1990,0.2991887331008911
Arbaz,1990,0.19427277205826401
Arbedo-Castione,1990,0.17452885811788993
Arboldswil,1990,0.282967818410773
Arbon,1990,0.6867839813232421
Arch,1990,0.543001348322088
Ardon,1990,0.2420852052653494
Arisdorf,1990,0.41562017566429643
Aristau,1990,0.4410604111691739
Arlesheim,1990,0.43116880718030426
Arnex-sur-Nyon,1990,0.557225025061405
